"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031424","keratinization","35/2712","56/16800",0.625,3.8716814159292,9.44414289692692,6.18371160760526e-15,2.08653362006399e-11,1.90732800799231e-11,"CDH3/CASP14/IL1A/KRT17/KRT85/KRT7/KRT71/ABCA12/KRT84/IVL/SPRR3/SPRR2D/KLK5/KRT80/EVPL/SPRR1B/SPRR1A/KRT78/KRT75/KRT6C/KRT4/KRT74/KRT83/LIPM/KRT6B/KRT5/LCE1E/KRT3/KRT16/HRNR/SPRR2E/LIPN/LIPK/CDSN/KRT6A",35
"GO:0000280","nuclear division","135/2712","438/16800",0.308219178082192,1.90932234210207,8.46055024774394,7.12249059588321e-15,2.08653362006399e-11,1.90732800799231e-11,"ANLN/SPDL1/MSH4/ASPM/TRIP13/MOV10L1/SPAG5/RAD54L/AURKA/TPX2/BIRC5/KIF4A/RANBP1/CCNB1IP1/MYBL2/BMP7/CDC25B/CENPI/ARHGEF10/CCNE1/FGF8/UBE2S/NCAPG/RAD51AP1/TTK/WNT5A/IL1A/MAD2L2/CDC20/NEK2/CENPF/ZNF541/KIF14/MSX2/NCAPH/MND1/KIF18A/TAF1L/CENPK/CKS2/EREG/KIF25/BMP4/IL1B/PCID2/DLGAP5/PRDM7/PKMYT1/LIF/KNSTRN/SGO1/TOP2A/RAN/FIGNL1/CCNB1/PSRC1/CDCA8/BRIP1/DMRT1/KIF23/BRDT/KIF20B/CENPE/BRCA2/DNMT3L/KIF2C/NUF2/HORMAD1/FANCD2/ANKRD31/CDCA5/NCAPG2/MKI67/CHEK1/NCAPD3/SPC25/CCSAP/SKA1/EME1/FBXO43/BUB1B/CCNB2/CDC25C/NPM2/ANKLE1/HSF2BP/KASH5/RACGAP1/SPC24/MSX1/SPICE1/SPDYA/MAD2L1/PTTG1/DCAF13/SHOC1/SKA3/PLK1/IGF2/CDT1/KIFC2/KCTD19/BUB1/CDK1/MTBP/UBE2C/SPHK1/CNTD1/HASPIN/AURKB/RRS1/RCC1/MAPK15/GPR3/TEX19/EPGN/KNTC1/CDCA2/L3MBTL1/KIF18B/FANCA/SYCP2/RAD54B/EME2/PRC1/MSH5/MZT1/PTTG3P/SYCE3/KIF4B/BTBD18/MEIOSIN/KIFC1/TERB1/UHRF1",135
"GO:0019730","antimicrobial humoral response","66/2712","164/16800",0.402439024390244,2.49298510684222,8.42975261683385,1.07846597258723e-13,2.10624404446285e-10,1.92534556790309e-10,"CCL26/SLC11A1/CXCL2/LYZ/PGC/BPI/ACOD1/HAMP/CCL24/CCL1/CALCA/IL17A/IL17F/HRG/CCL20/REG1A/WFDC3/SEMG2/SEMG1/CXCL6/CCL25/IL36RN/MMP7/S100A7/REG3G/PGLYRP3/SPON2/PGLYRP4/CXCL3/CXCL5/PPBP/PF4/CXCL1/DEFA5/DEFA6/RNASE7/NOD2/KLK5/EVPL/WFDC13/KLK7/CXCL10/CXCL11/CXCL8/MUC7/FGA/FGB/DEFB4A/REG3A/REG1B/F2/WFDC10A/WFDC10B/NCR3LG1/KRT6A/IGHG4/IGHG1/IGHG3/SPRR2A/CCL18/PRSS2/CCL3L1/CCL3L3/H2BC7/CCL3/H2BC10",66
"GO:0048285","organelle fission","141/2712","487/16800",0.28952772073922,1.7935345532518,7.79695972470097,4.20165076512978e-13,6.15436795822384e-10,5.62578923499481e-10,"ANLN/SPDL1/MSH4/ASPM/TRIP13/MOV10L1/SPAG5/RAD54L/AURKA/TPX2/BIRC5/KIF4A/RANBP1/CCNB1IP1/MYBL2/BMP7/CDC25B/CENPI/ARHGEF10/CCNE1/FGF8/UBE2S/NCAPG/RAD51AP1/TTK/WNT5A/IL1A/MAD2L2/CDC20/NEK2/CENPF/ZNF541/KIF14/MSX2/SEC16B/CRYZL2P-SEC16B/NCAPH/MND1/KIF18A/TAF1L/CENPK/CKS2/EREG/KIF25/BMP4/IL1B/PCID2/DLGAP5/PRDM7/PKMYT1/LIF/KNSTRN/SGO1/TOP2A/RAN/FIGNL1/CCNB1/PSRC1/CDCA8/BRIP1/DMRT1/KIF23/BRDT/KIF20B/CENPE/BRCA2/DNMT3L/KIF2C/NUF2/HORMAD1/FANCD2/ANKRD31/MTFR2/CDCA5/NCAPG2/MKI67/CHEK1/NCAPD3/SPC25/CCSAP/SKA1/EME1/FBXO43/BUB1B/CCNB2/CDC25C/NPM2/ANKLE1/HSF2BP/KASH5/RACGAP1/SPC24/MSX1/SPICE1/SPDYA/MAD2L1/PTTG1/DCAF13/SHOC1/SKA3/C11orf65/PLK1/IGF2/CDT1/KIFC2/KCTD19/BUB1/CDK1/MTBP/UBE2C/SPHK1/CNTD1/HASPIN/AURKB/RRS1/RCC1/MAPK15/GPR3/TEX19/EPGN/KNTC1/CDCA2/L3MBTL1/KIF18B/FANCA/SYCP2/RAD54B/EME2/PRC1/MSH5/MZT1/PTTG3P/SYCE3/KIF4B/BTBD18/MEIOSIN/KIFC1/MTFP1/PGAM5/TERB1/UHRF1",141
"GO:0043588","skin development","93/2712","295/16800",0.315254237288136,1.95290235488226,7.24458529538564,2.96333229975815e-11,3.4724327888566e-08,3.17419678761462e-08,"PAX6/FOXC1/CDH3/DLX3/GAL/COL5A3/PKP1/ADAMTS2/FERMT1/FZD3/DKK4/CASP14/COMP/MET/EZH2/DKK1/COL1A1/CYP27B1/IL17A/WNT5A/IL1A/ABCB6/MSX2/INHBA/HOXC13/SNAI1/EREG/SOX21/SOX9/KRT36/TNFRSF19/KRT17/COL5A1/GRHL1/KRT85/KRT7/EDAR/LGR5/KRT71/ZNF750/FLG2/S100A7/REG3G/ABCA12/APCDD1/GRHL3/KRT84/IL20/IVL/SPRR3/SPRR2D/CLDN1/ITGA2/FOXQ1/SHH/COL1A2/AQP3/SLC39A2/KLK5/KRT80/EVPL/DNASE1L2/COL3A1/SPRR1B/SPRR1A/KRT78/KRT75/KRT6C/KRT4/KRT74/KRT83/REG3A/LIPM/DSG4/ETV4/ZBED2/ALOXE3/KRT6B/KRT5/LCE1E/KRT3/KRT16/GJB3/CYSRT1/HRNR/SPRR2E/LIPN/LIPK/COL5A2/CDSN/KRT6A/FOXI3/NME2",93
"GO:0051783","regulation of nuclear division","57/2712","148/16800",0.385135135135135,2.38579287251854,7.42947055940394,4.12462275819743e-11,4.02769412337979e-08,3.68176852521203e-08,"SPDL1/TRIP13/AURKA/BIRC5/BMP7/FGF8/RAD51AP1/TTK/WNT5A/IL1A/MAD2L2/CDC20/NEK2/CENPF/MSX2/EREG/BMP4/IL1B/PCID2/DLGAP5/PRDM7/PKMYT1/LIF/CCNB1/CDCA8/DMRT1/KIF20B/NUF2/HORMAD1/MKI67/CHEK1/SPC25/SKA1/FBXO43/BUB1B/CDC25C/NPM2/SPC24/MSX1/MAD2L1/SKA3/PLK1/IGF2/BUB1/MTBP/UBE2C/SPHK1/HASPIN/AURKB/RCC1/GPR3/EPGN/KNTC1/CDCA2/L3MBTL1/SYCP2/MEIOSIN",57
"GO:0008544","epidermis development","107/2712","361/16800",0.296398891966759,1.83609933076753,7.04588686041064,6.44436345704276e-11,5.39393221354479e-08,4.9306648525464e-08,"PAX6/USH2A/FOXC1/CDH3/DLX3/GAL/FGF20/DCT/PKP1/SULT2B1/KRT31/FERMT1/FZD3/DKK4/CASP14/OVOL3/MET/PLOD3/EZH2/SFRP4/DKK1/KRT32/CYP27B1/IL17A/RBP2/WNT5A/COL7A1/IL1A/MSX2/INHBA/HOXC13/SNAI1/EREG/SOX21/BMP4/SOX9/KRT36/TNFRSF19/KRT17/KRT34/GRHL1/KRT85/KRT7/EDAR/MYO7A/LGR5/KRT71/ZNF750/CRABP2/FLG2/S100A7/REG3G/ABCA12/APCDD1/GRHL3/KRT84/IL20/IVL/SPRR3/SPRR2D/CLDN1/FOXQ1/SHH/AQP3/SLC39A2/KLK5/KRT80/EVPL/DNASE1L2/KLK7/SPRR1B/SPRR1A/KRT78/KRT75/KRT6C/KRT4/KRT74/KRT83/KRT15/REG3A/LIPM/DSG4/CST6/ETV4/ZBED2/CALML5/ALOXE3/POU3F2/JAG2/KRT6B/KRT5/LCE1E/KRT3/KRT16/PDZD7/GJB5/CYSRT1/LHFPL5/HRNR/SPRR2E/LIPN/LIPK/CDSN/KRT6A/FOXI3/NTF4/NME2",107
"GO:1903046","meiotic cell cycle process","72/2712","211/16800",0.341232227488152,2.11382795789121,7.14350124962148,9.60245447685294e-11,6.78405486424123e-08,6.20139437289629e-08,"MSH4/ASPM/TRIP13/MOV10L1/RAD54L/AURKA/CCNB1IP1/CDC25B/CCNE1/RAD51AP1/TTK/WNT5A/CDC20/ZNF541/MSX2/NCAPH/MND1/KIF18A/TAF1L/CKS2/EREG/PRDM7/PKMYT1/LIF/SGO1/TOP2A/FIGNL1/BRIP1/DMRT1/BRDT/BRCA2/DNMT3L/NUF2/HORMAD1/FANCD2/ANKRD31/NCAPD3/EDNRA/SKA1/EME1/FBXO43/CCNB2/CDC25C/NPM2/ANKLE1/HSF2BP/KASH5/SPATA17/MSX1/SPDYA/CDC25A/PTTG1/DCAF13/SHOC1/SKA3/PLK1/KCTD19/CNTD1/MAPK15/GPR3/TEX19/REC114/FANCA/SYCP2/RAD54B/EME2/MSH5/PTTG3P/SYCE3/BTBD18/MEIOSIN/TERB1",72
"GO:0030216","keratinocyte differentiation","57/2712","151/16800",0.377483443708609,2.33839301412413,7.24836315814883,1.04209752138882e-10,6.78405486424123e-08,6.20139437289629e-08,"PAX6/FOXC1/CDH3/PKP1/CASP14/EZH2/CYP27B1/IL17A/WNT5A/IL1A/MSX2/EREG/KRT36/KRT17/GRHL1/KRT85/KRT7/KRT71/S100A7/REG3G/ABCA12/KRT84/IL20/IVL/SPRR3/SPRR2D/AQP3/SLC39A2/KLK5/KRT80/EVPL/DNASE1L2/SPRR1B/SPRR1A/KRT78/KRT75/KRT6C/KRT4/KRT74/KRT83/REG3A/LIPM/DSG4/ETV4/ZBED2/KRT6B/KRT5/LCE1E/KRT3/KRT16/HRNR/SPRR2E/LIPN/LIPK/CDSN/KRT6A/NME2",57
"GO:0045109","intermediate filament organization","33/2712","67/16800",0.492537313432836,3.05111610091137,7.38078620854442,2.89975378003574e-10,1.63442160826898e-07,1.494046432007e-07,"PKP1/KRT31/KRT23/KRT37/KRT32/BFSP1/KRT36/KRT17/KRT34/KRT85/KRT7/KRT71/KRT84/SHH/KRT80/KRT78/KRT75/KRT6C/KRT4/KRT74/KRT83/BBLN/KRT15/KRT38/KRT13/KRT6B/KRT5/KRT3/KRT16/KRT39/KRT35/KRT40/KRT6A",33
